Country Name,pais_c,Total,Urbana,Rural
Aruba,ABW,106314,46295,60019
Afghanistan,AFG,38041754,9797273,28244481
Angola,AGO,31825295,21061025,10764270
Albania,ALB,2854191,1747593,1106598
Andorra,AND,77142,67873,9269
Arab World,ARB,427870270,253306246,174564024
United Arab Emirates,ARE,9770529,8479744,1290785
Argentina,ARG,44938712,41339571,3599141
Armenia,ARM,2957731,1869848,1087883
American Samoa,ASM,55312,48203,7109
Antigua and Barbuda,ATG,97118,23800,73318
Australia,AUS,25364307,21844756,3519551
Austria,AUT,8877067,5194416,3682651
Azerbaijan,AZE,10023318,5616165,4407153
Burundi,BDI,11530580,1541177,9989403
Belgium,BEL,11484055,11259082,224973
Benin,BEN,11801151,5648149,6153002
Burkina Faso,BFA,20321378,6092349,14229029
Bangladesh,BGD,163046161,60987417,102058744
Bulgaria,BGR,6975761,5256027,1719734
Bahrain,BHR,1641172,1467109,174063
"Bahamas, The",BHS,389482,323784,65698
Bosnia and Herzegovina,BIH,3301000,1605144,1695856
Belarus,BLR,9466856,7482982,1983874
Belize,BLZ,390353,179039,211314
Bermuda,BMU,63918,63918, -   
Bolivia,BOL,11513100,8033035,3480065
Brazil,BRA,211049527,183241641,27807886
Barbados,BRB,287025,89431,197594
Brunei Darussalam,BRN,433285,337711,95574
Bhutan,BTN,763092,317538,445554
Botswana,BWA,2303697,1616550,687147
Central African Republic,CAF,4745185,1982064,2763121
Canada,CAN,37589262,30628482,6960780
Central Europe and the Baltics,CEB,102378579,63923503,38455076
Switzerland,CHE,8574832,6332428,2242404
Channel Islands,CHI,172259,53281,118978
Chile,CHL,18952038,16610135,2341903
China,CHN,1397715000,842933962,554781038
Cote d'Ivoire,CIV,25716544,13176900,12539644
Cameroon,CMR,25876380,14741256,11135124
"Congo, Dem. Rep.",COD,86790567,39095679,47694888
"Congo, Rep.",COG,5380508,3625010,1755498
Colombia,COL,50339443,40827302,9512141
Comoros,COM,850886,248152,602734
Cabo Verde,CPV,549935,364029,185906
Costa Rica,CRI,5047561,4041885,1005676
Caribbean small states,CSS,7401381,3802091,3599290
Cuba,CUB,11333483,8739135,2594348
Curacao,CUW,157538,140363,17175
Cayman Islands,CYM,64948,64948, -   
Cyprus,CYP,1198575,800708,397867
Czech Republic,CZE,10669709,7887156,2782553
Germany,DEU,83132799,64324835,18807964
Djibouti,DJI,973560,758549,215011
Dominica,DMA,71808,50830,20978
Denmark,DNK,5818553,5119978,698575
Dominican Republic,DOM,10738958,8787475,1951483
Algeria,DZA,43053054,31510100,11542954
East Asia & Pacific (excluding high income),EAP,2093675040,1184392043,909282997
Early-demographic dividend,EAR,3290290622,1498424545,1791866077
East Asia & Pacific,EAS,2340628292,1401721126,938907166
Europe & Central Asia (excluding high income),ECA,399404587,269654394,129750193
Europe & Central Asia,ECS,921140092,665690502,255449590
Ecuador,ECU,17373662,11116711,6256951
"Egypt, Arab Rep.",EGY,100388073,42895824,57492249
Euro area,EMU,342597698,264546016,78051682
Eritrea,ERI,,, -   
Spain,ESP,47076781,37927409,9149372
Estonia,EST,1326590,916024,410566
Ethiopia,ETH,112078730,23788710,88290020
European Union,EUU,447512041,334423609,113088432
Fragile and conflict affected situations,FCS,798138587,357957325,440181262
Finland,FIN,5520314,4716888,803426
Fiji,FJI,889953,505048,384905
France,FRA,67059887,54123364,12936523
Faroe Islands,FRO,48678,20554,28124
"Micronesia, Fed. Sts.",FSM,113815,25963,87852
Gabon,GAB,2172579,1949694,222885
United Kingdom,GBR,66834405,55908316,10926089
Georgia,GEO,3720382,2196476,1523906
Ghana,GHA,30417856,17249054,13168802
Gibraltar,GIB,33701,33701, -   
Guinea,GIN,12771246,4661505,8109741
"Gambia, The",GMB,2347706,1453958,893748
Guinea-Bissau,GNB,1920922,840922,1080000
Equatorial Guinea,GNQ,1355986,984812,371174
Greece,GRC,10716322,8507474,2208848
Grenada,GRD,112003,40765,71238
Greenland,GRL,56225,48945,7280
Guatemala,GTM,16604026,8540945,8063081
Guam,GUM,167294,158693,8601
Guyana,GUY,782766,208912,573854
High income,HIC,1235852827,1001596280,234256547
"Hong Kong SAR, China",HKG,7507400,7507400, -   
Honduras,HND,9746117,5626433,4119684
Heavily indebted poor countries (HIPC),HPC,801708035,292473363,509234672
Croatia,HRV,4067500,2328318,1739182
Haiti,HTI,11263077,6328948,4934129
Hungary,HUN,9769949,6999582,2770367
IBRD only,IBD,4816235951,2678610910,2137625041
IDA & IBRD total,IBT,6486934851,3304099384,3182835467
IDA total,IDA,1670698900,625488474,1045210426
IDA blend,IDB,561572202,239831686,321740516
Indonesia,IDN,270625568,151509724,119115844
IDA only,IDX,1109126698,385656788,723469910
Isle of Man,IMN,84584,44605,39979
India,IND,1366417754,471031528,895386226
Not classified,INX,,, -   
Ireland,IRL,4941444,3133123,1808321
"Iran, Islamic Rep.",IRN,82913906,62509623,20404283
Iraq,IRQ,39309783,27783368,11526415
Iceland,ISL,361313,339110,22203
Israel,ISR,9053300,8374393,678907
Italy,ITA,60297396,42651966,17645430
Jamaica,JAM,2948279,1650594,1297685
Jordan,JOR,10101694,9213048,888646
Japan,JPN,126264931,115782416,10482515
Kazakhstan,KAZ,18513930,10652915,7861015
Kenya,KEN,52573973,14461523,38112450
Kyrgyz Republic,KGZ,6456900,2362644,4094256
Cambodia,KHM,16486542,3924621,12561921
Kiribati,KIR,117606,64489,53117
St. Kitts and Nevis,KNA,52823,16269,36554
"Korea, Rep.",KOR,51709098,42106719,9602379
Kuwait,KWT,4207083,4207083, -   
Latin America & Caribbean (excluding high income),LAC,613773128,495309499,118463629
Lao PDR,LAO,7169455,2555552,4613903
Lebanon,LBN,6855713,6084994,770719
Liberia,LBR,4937374,2548426,2388948
Libya,LBY,6777452,5448597,1328855
St. Lucia,LCA,182790,34280,148510
Latin America & Caribbean,LCN,646430841,522741501,123689340
Least developed countries: UN classification,LDC,1033388876,352399564,680989312
Low income,LIC,668454965,222717604,445737361
Liechtenstein,LIE,38019,5464,32555
Sri Lanka,LKA,21803000,4052088,17750912
Lower middle income,LMC,2913363391,1156193048,1757170343
Low & middle income,LMY,6437681145,3272637457,3165043688
Lesotho,LSO,2125268,607508,1517760
Late-demographic dividend,LTE,2298470832,1454774594,843696238
Lithuania,LTU,2786844,1891013,895831
Luxembourg,LUX,619896,565488,54408
Latvia,LVA,1912789,1304943,607846
"Macao SAR, China",MAC,640445,640445, -   
St. Martin (French part),MAF,38002,,38002
Morocco,MAR,36471769,22975026,13496743
Monaco,MCO,38964,38964, -   
Moldova,MDA,2657637,1135502,1522135
Madagascar,MDG,26969307,10210849,16758458
Maldives,MDV,530953,213645,317308
Middle East & North Africa,MEA,456707404,299959097,156748307
Mexico,MEX,127575529,102626859,24948670
Marshall Islands,MHL,58791,45514,13277
Middle income,MIC,5769226180,3049919853,2719306327
North Macedonia,MKD,2083459,1212740,870719
Mali,MLI,19658031,8479688,11178343
Malta,MLT,502653,475902,26751
Myanmar,MMR,54045420,16674093,37371327
Middle East & North Africa (excluding high income),MNA,389457086,241087180,148369906
Montenegro,MNE,622137,417765,204372
Mongolia,MNG,3225167,2210626,1014541
Northern Mariana Islands,MNP,57216,52472,4744
Mozambique,MOZ,30366036,11092106,19273930
Mauritania,MRT,4525696,2466821,2058875
Mauritius,MUS,1265711,515980,749731
Malawi,MWI,18628747,3199301,15429446
Malaysia,MYS,31949777,24475766,7474011
North America,NAC,365892703,301355428,64537275
Namibia,NAM,2494530,1273258,1221272
New Caledonia,NCL,287800,204637,83163
Niger,NER,23310715,3850231,19460484
Nigeria,NGA,200963599,102806948,98156651
Nicaragua,NIC,6545502,3846137,2699365
Netherlands,NLD,17332850,15924729,1408121
Norway,NOR,5347896,4418218,929678
Nepal,NPL,28608710,5765513,22843197
Nauru,NRU,12581,12581, -   
New Zealand,NZL,4917000,4258860,658140
OECD members,OED,1359963500,1098912701,261050799
Oman,OMN,4974986,4250777,724209
Other small states,OSS,31360407,19630518,11729889
Pakistan,PAK,216565318,79927762,136637556
Panama,PAN,4246439,2890084,1356355
Peru,PER,32510453,25390339,7120114
Philippines,PHL,108116615,50975903,57140712
Palau,PLW,18008,14491,3517
Papua New Guinea,PNG,8776109,1162834,7613275
Poland,POL,37970874,22796574,15174300
Pre-demographic dividend,PRE,944902749,394746861,550155888
Puerto Rico,PRI,3193694,2988531,205163
"Korea, Dem. People’s Rep.",PRK,25666161,15947412,9718749
Portugal,PRT,10269417,6753579,3515838
Paraguay,PRY,7044636,4359150,2685486
West Bank and Gaza,PSE,4685306,3581448,1103858
Pacific island small states,PSS,2493696,973497,1520199
Post-demographic dividend,PST,1112914457,906643853,206270604
French Polynesia,PYF,279287,172870,106417
Qatar,QAT,2832067,2809071,22996
Romania,ROU,19356544,10468793,8887751
Russian Federation,RUS,144373535,107683889,36689646
Rwanda,RWA,12626950,2186104,10440846
South Asia,SAS,1835776742,632092764,1203683978
Saudi Arabia,SAU,34268528,28807838,5460690
Sudan,SDN,42813238,14957233,27856005
Senegal,SEN,16296364,7765706,8530658
Singapore,SGP,5703569,5703569, -   
Solomon Islands,SLB,669823,162164,507659
Sierra Leone,SLE,7813215,3319366,4493849
El Salvador,SLV,6453553,4694702,1758851
San Marino,SMR,33860,32969,891
Somalia,SOM,15442905,7034861,8408044
Serbia,SRB,6944975,3907243,3037732
Sub-Saharan Africa (excluding high income),SSA,1105594562,450101577,655492985
South Sudan,SSD,11062113,2201250,8860863
Sub-Saharan Africa,SSF,1106957898,450673319,656284579
Small states,SST,41255484,24406106,16849378
Sao Tome and Principe,STP,215056,158277,56779
Suriname,SUR,581372,384258,197114
Slovak Republic,SVK,5454073,2930419,2523654
Slovenia,SVN,2087946,1144654,943292
Sweden,SWE,10285453,9021165,1264288
Eswatini,SWZ,1148130,275333,872797
Sint Maarten (Dutch part),SXM,40733,40733, -   
Seychelles,SYC,97625,55762,41863
Syrian Arab Republic,SYR,17070135,9358019,7712116
Turks and Caicos Islands,TCA,38191,35655,2536
Chad,TCD,15946876,3712273,12234603
East Asia & Pacific (IDA & IBRD countries),TEA,2067984156,1168423500,899560656
Europe & Central Asia (IDA & IBRD countries),TEC,460799505,305248079,155551426
Togo,TGO,8082366,3414638,4667728
Thailand,THA,69625582,35294600,34330982
Tajikistan,TJK,9321018,2545477,6775541
Turkmenistan,TKM,5942089,3092738,2849351
Latin America & the Caribbean (IDA & IBRD countries),TLA,630644770,510155990,120488780
Timor-Leste,TLS,1293119,400182,892937
Middle East & North Africa (IDA & IBRD countries),TMN,384771780,237505732,147266048
Tonga,TON,104494,24145,80349
South Asia (IDA & IBRD),TSA,1835776742,632092764,1203683978
Sub-Saharan Africa (IDA & IBRD countries),TSS,1106957898,450673319,656284579
Trinidad and Tobago,TTO,1394973,741944,653029
Tunisia,TUN,11694719,8099061,3595658
Turkey,TUR,83429615,63097818,20331797
Tuvalu,TUV,11646,7362,4284
Tanzania,TZA,58005463,20011885,37993578
Uganda,UGA,44269594,10784516,33485078
Ukraine,UKR,44385155,30835699,13549456
Upper middle income,UMC,2855862789,1893726805,962135984
Uruguay,URY,3461734,3303394,158340
United States,USA,328239523,270663028,57576495
Uzbekistan,UZB,33580650,16935729,16644921
St. Vincent and the Grenadines,VCT,110589,58185,52404
"Venezuela, RB",VEN,28515829,25162368,3353461
British Virgin Islands,VGB,30030,14449,15581
Virgin Islands (U.S.),VIR,106631,102187,4444
Vietnam,VNM,96462106,35332140,61129966
Vanuatu,VUT,299882,76152,223730
World,WLD,7673533972,4274233737,3399300235
Samoa,WSM,197097,35588,161509
Kosovo,XKX,1794248,,1794248
"Yemen, Rep.",YEM,29161922,10869523,18292399
South Africa,ZAF,58558270,39149717,19408553
Zambia,ZMB,17861030,7871713,9989317
Zimbabwe,ZWE,14645468,4717305,9928163
